German	English	Frequency
ich	I	2530656	
sein	to be	1967412	
sie	they	1210639	
der	the	927932	
nicht	not	867775	
die	the	802022	
es	it	737340	
und	and	726378	
haben	to have	720219	
du	you	659262	
das	the	626995	
werden	will	468221	
zu	to	465957	
ein	a	410867	
in	in	407776	
können	can	361128	
wer	who	354415	
mein	my	353054	
mit	with	322515	
wir	we	317312	
mir	me	305979	
wie	as	297691	
den	the	287950	
auf	on	285182	
ja	yes	281057	
mich	me	279252	
dass	that	278519	
was	what	262155	
aber	but	250135	
so	so	246745	
er	he	245495	
wollen	to want	242277	
hier	here	241866	
eine	a	236078	
von	of	233093	
für	for	231290	
hat	has	226317	
einen	a	225205	
wenn	if	223408	
gut	good	212961	
dich	you	209484	
an	to	200477	
gehen	to go	199945	
müssen	must	198613	
nein	no	186047	
ihr	you guys	178608	
nur	only	176558	
noch	yet	174051	
da	because	173723	
sagen	to say	168764	
sich	itself	167290	
dir	you	165084	
sehen	to see	163043	
uns	us	160606	
dem	the	150760	
machen	to make	150715	
kommen	to come	147871	
tun	to do	144421	
wissen	to know	144398	
ihn	it	139574	
aus	from	138099	
um	about	136715	
schon	already	135619	
als	as	135283	
geben	to give	133112	
auch	also	131579	
jetzt	now	131195	
dann	then	128615	
im	in	127177	
dies	this	126007	
das Mal	the time	125783	
kein	no	121569	
das Weiß	the white	115532	
lassen	to let	112606	
sollen	must	111691	
oder	or	109432	
alle	all	107260	
doch	but	104935	
nach	according to	104710	
meine	my	103895	
man	one	96603	
nichts	nothing	95743	
wo	where	94775	
meinen	to mean	93726	
Oh	oh	91224	
der Mann	the man	91170	
etwas	something	89696	
mehr	more	87019	
Hab	have	86780	
warum	why	86014	
also	so	85492	
bei	at	84068	
ihnen	them	83987	
keine	no	83762	
immer	always	82458	
ganz	all	79577	
alles	all	77777	
die Bitte	the you&#39;re welcome	77570	
vor	in front	76235	
wieder	back	73582	
zum	for	72887	
das Leben	the live	72176	
das Los	the lot	72016	
mögen	like	69331	
einem	a	68245	
sehr	very	67972	
ihm	it	67926	
der Einer	the one	66738	
glauben	to believe	66383	
der Dank	the thanks	65600	
viel	a lot of	64272	
denn	because	63958	
über	about	63860	
vielleicht	perhaps	62900	
der Weg	the way	62427	
Komm	come over	62345	
denken	to thinking	61280	
wirklich	for real	59991	
nie	never	58846	
nehmen	to take	58520	
Ist	is	58412	
einfach	simply	58268	
des	of	57537	
die Frau	the mrs	56929	
die Zeit	the time	55455	
okay	okay	55231	
diese	this	54458	
am	at the	54383	
der Tag	the day	53472	
finden	to find	53296	
nun	now	52964	
hören	to hear	52732	
euch	you	52417	
weil	because	50659	
der Gott	the god	50210	
Hey	hey	49314	
deine	your	48970	
heute	today	47533	
jemand	someone	47149	
das Jahr	the year	46877	
zurück	back	46871	
damit	in order to	46490	
reden	to talk	46008	
das Haus	the house	45973	
bis	to	45723	
gesagt	said	45336	
kennen	to know	45109	
Leute	people	44045	
bringen	to bring	43509	
das Leid	the sorrow	43332	
brauchen	to need	43071	
ok	ok	42796	
der Freund	the friend	40929	
ander	other	40676	
seine	its	40654	
groß	large	40317	
stehen	to stand	40137	
Mr	mr	39777	
verstehen	to understand	39555	
das Kind	the child	39321	
zwei	two	38786	
helfen	to help	38559	
bleiben	to remain	38551	
sicher	for sure	38043	
genau	exactly	38019	
zur	to	37802	
dein	your	37667	
schön	nice one	37057	
der Vater	the father	36458	
der Sir	the sir	36287	
richtig	properly	35672	
dieser	this	35536	
Na	well	35220	
der Morgen	the morning	34892	
das Hallo	the hi there	34587	
ab	from	34235	
durch	by	33671	
sprechen	to speak	33532	
dachen	to capping	33360	
die Gerade	the just	33341	
klar	clear	33323	
die Hast	the haste	32659	
gesehen	seen	32645	
raus	out	32228	
das Geld	the money	32156	
halten	to hold	31516	
mach	do	31228	
die Liebe	the love	31035	
gemacht	made	30676	
der Mensch	the man	30617	
dürfen	may	30608	
das Paar	the pair	30495	
der Ob	the whether	30482	
jed	jed	30385	
klein	small	30364	
die Mutter	the mother	29502	
bekommen	to get	29234	
fragen	to ask	29220	
SAG	sag	29193	
sollte	should	28992	
die Nacht	the night	28768	
die Ordnung	the order	28648	
sterben	to die	28571	
selbst	even	28463	
passiert	happened	28417	
ohne	without	28300	
das Alt	the old	28108	
neu	new	28024	
die Sache	the thing	28007	
ihre	their	27976	
das Wohl	the well	27941	
warten	to wait	27859	
dort	there	27716	
Hör	listen	27653	
all	all	27578	
her	here	27520	
erst	only	27470	
tot	dead	27415	
gehört	heard	27409	
besser	better	27291	
essen	to eat	26573	
niemand	no one	26423	
Geh	go	25941	
meiner	mine	25553	
fahren	to go	25405	
heißen	to mean	25404	
vom	from	25343	
lhr	lhr	25249	
das Ding	the thing	25075	
lange	long	25046	
das Problem	the problem	24929	
weiter	more	24866	
arbeiten	to work	24854	
wieso	why	24713	
das Recht	the right	24492	
ins	in the	24412	
gleich	equal	24377	
das Mädchen	the girl	24208	
stimmen	to vote	24185	
seit	since	24182	
vergessen	to forget	24135	
davon	thereof	23698	
natürlich	of course	23354	
die Welt	the world	23348	
der Halt	the stop	23139	
gar	at all	23083	
rein	purely	22616	
hin	down	22592	
drei	three	22547	
die Hand	the hand	22312	
unter	under	22307	
dafür	for this	22024	
die Warte	the waiting	22005	
töten	to kill	21775	
der Abend	the evening	21459	
die Angst	the anxiety	21412	
zusammen	together	21095	
Scheiße	shit	21058	
treffen	to meet	21020	
der Brauch	the custom	20998	
genug	enough	20812	
spielen	to play	20772	
der Herr	the mr	20386	
die Minute	the minute	20334	
der Fall	the case	20264	
andere	other	20250	
laufen	to run	20219	
Ach	oh	20073	
der Bruder	the brother	20009	
getan	done	19823	
ne	ne	19506	
der Moment	the moment	19431	
fühlen	to feel	19405	
suchen	to look for	19298	
verdammen	to condemn	19282	
gegen	versus	19276	
wegen	because of	19207	
liegen	to lie	19152	
die Stunde	the hour	18933	
viele	many	18927	
holen	to get	18921	
die Arbeit	the work	18825	
einzig	only	18624	
das Auge	the eye	18549	
eines	one	18478	
weit	far	18436	
der Typ	the type	18364	
bevor	before	18205	
versuchen	to try	18014	
sonst	otherwise	17932	
dabei	there	17931	
der Sohn	the son	17742	
wahr	true	17722	
schnell	quickly	17710	
einmal	one time	17674	
die Woche	the week	17338	
die Familie	the family	17228	
das Baby	the baby	17150	
zeigen	to show	17126	
erinnern	to recall	17122	
lieben	to love	17107	
wann	when	17024	
sofort	right away	17022	
seinen	its	16710	
der Junge	the boy	16618	
der Kopf	the head	16500	
beim	when	16394	
unser	our	16119	
darüber	about it	16083	
stellen	to provide	15986	
gefunden	found	15953	
entschuldigen	to excuse	15856	
dazu	for this purpose,	15845	
die Stadt	the city	15788	
das Auto	the car	15781	
daran	it	15723	
Jack	jack	15602	
Dr	dr	15581	
der Krieg	the war	15539	
kriegen	to get	15508	
schlecht	bad	15499	
echt	real	15499	
die Sorge	the concern	15488	
die Waffe	the weapon	15374	
jung	young	15189	
die Hilfe	the help	15177	
fertig	finished	15167	
nennen	to call	15088	
die Schau	the show	14964	
der Grund	the reason	14932	
die Art	the type	14914	
eigentlich	actually	14909	
nett	nice	14898	
erzählen	to tell	14879	
die Uhr	the clock	14842	
runter	down	14815	
Namen	name	14803	
beide	both	14787	
das Ende	the end	14652	
hoch	high	14641	
ihrer	of her	14577	
falsch	wrong	14530	
ziehen	to pull	14527	
verlassen	to leave	14500	
letzt	last	14493	
lhre	their	14480	
das Land	the country	14472	
der Schatz	the treasure	14444	
Jungs	boys	14386	
bißchen	little	14359	
deiner	yours	14349	
allein	alone	14318	
das Wort	the word	14270	
der Teufel	the devil	14244	
die Eins	the one	14138	
die Tür	the door	14125	
egal	all the same	14101	
lang	long	14090	
de	de	14056	
draußen	out	13879	
gern	gladly	13847	
das Spiel	the game	13784	
schaffen	to create	13686	
wichtig	important	13556	
scheinen	to seem	13460	
darauf	thereon	13413	
kurz	short	13378	
der Tod	the death	13368	
der Monat	the month	13365	
spät	late	13303	
der Job	the job	13269	
setzen	to set	13243	
welch	what	13233	
später	later	13107	
der Film	the film	13087	
verschwinden	to disappear	13060	
der Name	the name	12967	
das Glück	the happiness	12952	
hoffen	to hope	12925	
vorbei	past	12908	
seiner	its	12897	
tragen	to wear	12868	
danke	thank you	12810	
schlafen	to sleep	12758	
bald	soon	12754	
die Geschichte	the history	12749	
bereit	ready	12743	
the	the	12742	
hinter	behind	12723	
je	each	12685	
wenig	not much	12680	
rufen	to call	12578	
die Seite	the page	12572	
schwer	difficult	12565	
der Kerl	the guy	12551	
verrückt	crazy	12541	
toll	great	12517	
ruhig	quiet	12426	
eigen	own	12400	
fallen	to fall	12310	
dran	off	12301	
trinken	to drink	12224	
fast	almost	12204	
drin	in it	12149	
kümmern	to concern	12117	
sitzen	to sit	12091	
John	john	11972	
die Musik	the music	11939	
sogar	even	11876	
ziemlich	pretty	11870	
das Wasser	the water	11867	
letzte	last	11815	
die Macht	the power	11797	
verloren	lost	11744	
Woher	how come	11642	
darum	that is why	11528	
Dad	dad	11506	
der Ruf	the reputation	11504	
die Polizei	the police	11447	
die Ahnung	the idea	11345	
überhaupt	at all	11305	
das A	the a	11289	
die Idee	the idea	11256	
die Frage	the question	11246	
der Ort	the place	11213	
lieber	rather	11196	
gerne	with pleasure	11160	
die Schwester	the sister	11149	
oben	above	11115	
bedeutet	means	11104	
die Chance	the chance	11097	
der Gefallen	the fallen	11081	
der Wagen	the dare	11080	
führen	to lead	11009	
jeder	each	10948	
die Tochter	the daughter	10868	
gekommen	come	10856	
der Teil	the part	10854	
versucht	tries	10804	
etwa	about	10782	
die Ruhe	the rest	10728	
das Gesicht	the face	10714	
verlieren	to lose	10695	
lernen	to learn	10629	
schreiben	to write	10625	
nächst	next	10576	
erste	first	10556	
der Versuch	the attempt	10549	
das Schiff	the ship	10538	
fünf	five	10534	
äh	um	10464	
während	during	10430	
gewesen	been	10341	
vier	four	10329	
niemals	never	10319	
War	war	10294	
die Wahrheit	the truth	10251	
anders	different	10232	
der Arm	the poor	10157	
denen	to whom	10064	
Schuld	debt	9995	
lesen	to read	9974	
die Mama	the mum	9968	
der Dollar	the dollar	9964	
der Spaß	the fun	9952	
frei	free	9927	
das O	the o	9912	
der Ernst	the seriously	9895	
früh	early	9869	
das Vertrauen	the trust	9865	
deshalb	that&#39;s why	9857	
gestern	yesterday	9774	
erzählt	told	9763	
zwischen	between	9732	
Herz	heart	9731	
beste	best	9728	
die Tu	the tu	9708	
das Zimmer	the room	9639	
verdammt	damn it	9637	
die Freundin	the friend	9630	
getötet	killed	9585	
die Nachricht	the message	9577	
unten	below	9556	
der Plan	the plan	9554	
retten	to save	9551	
beid	on both	9533	
fangen	to catch	9473	
das Bett	the bed	9467	
der Arsch	the ass	9427	
glücklich	happy	9399	
möglich	possible	9369	
die Entschuldigung	the sorry	9358	
der Hund	the dog	9325	
unserer	our	9317	
stecken	to plug	9241	
das Buch	the book	9114	
wohin	where	9097	
manchmal	sometimes	9097	
das Blut	the blood	9093	
reichen	to range	9043	
lhnen	wages sent	9043	
geschehen	to happen	9026	
eben	just	8999	
das Fest	the fixed	8956	
bloß	only	8942	
Mrs	mrs	8923	
der Pass	the pass	8905	
die Nummer	the number	8899	
der Platz	the space	8887	
Ah	ah	8880	
Scheiß	shit	8832	
schlimm	bad	8814	
die Straße	the road	8783	
endlich	at last	8781	
irgendwas	something	8769	
das Gefühl	the feeling	8746	
voll	fully	8698	
dumm	stupid	8685	
die Schule	the school	8664	
fliegen	to fly	8658	
Bleib	stay	8589	
außer	except	8589	
I	i	8573	
die Miss	the miss	8568	
stark	strongly	8558	
hart	hard	8551	
der Arzt	the doctor	8485	
Bring	bring	8464	
das Soll	the target	8432	
Mom	mom	8431	
die Sekunde	the second	8419	
passen	to fit	8417	
schauen	to look	8406	
kaufen	to buy	8400	
klingen	to sound	8350	
versprechen	to promise	8342	
legen	to place	8307	
großartig	great	8285	
die Menge	the amount	8275	
heiß	hot	8269	
schlagen	to knock out	8267	
schicken	to send	8266	
heiraten	to marry	8264	
bestimmt	certainly	8235	
der Traum	the dream	8228	
kleiner	minor	8223	
zuerst	first	8168	
ihrem	their	8153	
der Böse	the evil	8121	
sichern	to secure	8103	
oft	often	8068	
kämpfen	to fight	7996	
beginnen	to kick off	7994	
aussehen	to look	7964	
das Wiedersehen	the see again	7905	
gedacht	thought	7905	
das Bild	the image	7899	
Sam	sam	7871	
gegeben	given	7867	
das Telefon	the phone	7861	
drauf	it	7859	
lachen	to laugh	7809	
wahrscheinlich	probably	7797	
Yeah	yeah	7773	
irgendwie	somehow	7766	
ändern	to change	7709	
sechs	six	7703	
der Fehler	the error	7702	
hierher	here	7699	
passieren	to happen	7692	
New	new	7674	
die Erde	the earth	7664	
der König	the king	7662	
www	www	7636	
bereits	already	7636	
sondern	but	7622	
das Feuer	the fire	7614	
langsam	slowly	7529	
wohnen	to live	7527	
wünschen	to wish	7523	
aufhören	to stop	7522	
ehrlich	honest	7519	
bitten	to ask	7516	
schiessen	to shoot	7431	
die Hölle	the hell	7423	
das Stück	the piece	7416	
schreien	to shout	7399	
umbringen	to kill	7389	
wär	would	7385	
das Geschäft	the business	7369	
das Büro	the office	7355	
erklären	to explain	7343	
der Kumpel	the mate	7330	
Captain	captain	7318	
der Präsident	the president	7316	
direkt	directly	7293	
das Alter	the age	7288	
kaum	hardly	7268	
krank	ill	7258	
das Team	the team	7245	
das Zeug	the stuff	7212	
anrufen	to call	7179	
keiner	none	7150	
einige	some	7131	
der Wert	the value	7128	
öffnen	to open	7127	
froh	glad to	7099	
alleine	alone	7088	
gefällt	like	7066	
werfen	to throw	7033	
der Himmel	the sky	7033	
freuen	to look forward	7024	
die Luft	the air	6990	
die Eltern	the parents	6987	
lieb	dear	6984	
der Körper	the body	6982	
lügen	to lie	6961	
willkommen	welcome	6942	
gehören	to belong	6911	
überall	all over	6856	
Hol	get	6844	
anfangen	to start	6824	
folgen	to follow	6789	
der Doktor	the doctor	6784	
verstanden	roger that	6763	
die Party	the party	6745	
der Hass	the hatred	6710	
leicht	easily	6685	
zehn	ten	6676	
lst	lst	6667	
gewinnen	to win	6654	
halb	half	6638	
die Person	the person	6637	
erfahren	to find out	6635	
schwarz	black	6575	
hübsch	pretty	6553	
drehen	to turn	6543	
dauern	to last	6541	
der Sinn	the sense	6496	
perfekt	perfectly	6493	
Uh	uh	6489	
das Licht	the light	6451	
Charlie	charlie	6431	
behalten	to keep	6416	
trotzdem	nevertheless	6411	
nochmal	again	6397	
hm	hm	6374	
der Kampf	the fight	6369	
danach	after that	6369	
das Bein	the leg	6341	
Michael	michael	6334	
meist	usually	6326	
geworden	become	6317	
benutzen	to use	6305	
cool	cool	6303	
der Fuß	the foot	6262	
der Agent	the agent	6238	
völlig	completely	6228	
der Witz	the joke	6198	
gebracht	brought	6192	
der Papa	the dad	6182	
der Rest	the residual	6176	
die Zukunft	the future	6171	
der Laden	the load	6168	
Frank	frank	6163	
getroffen	taken	6154	
erwarten	to expect	6154	
funktioniert	works	6132	
lustig	funny	6116	
gegangen	gone	6105	
hängen	to hang	6102	
you	you	6086	
drüben	over there	6030	
m	m	6029	
der Kaffee	the coffee	6008	
ähm	um	5997	
singen	to sing	5995	
bezahlen	to pay	5989	
der Schlüssel	the key	5968	
Millionen	million	5959	
genommen	taken	5959	
jede	each	5950	
die Klasse	the class	5946	
die Karte	the map	5941	
irgendwo	somewhere	5927	
normal	normal	5909	
nachdem	after	5903	
das Gefängnis	the prison	5887	
der Befehl	the command	5871	
das Weh	the woe	5844	
D	d	5844	
der Mord	the murder	5826	
welche	which	5819	
interessiert	interested	5819	
deswegen	because of this	5814	
wovon	from where	5810	
glaub	think	5800	
der Boss	the boss	5794	
das Foto	the photo	5781	
vorstellen	to introduce	5771	
die Wahl	the choice	5759	
der Untertitel	the subtitle	5754	
total	total	5726	
das Boot	the boat	5704	
schrecklich	terrible	5690	
der General	the general	5681	
der Boden	the ground	5676	
komisch	funny	5665	
worden	been	5646	
der Mund	the mouth	5615	
George	george	5613	
der Gedanke	the thought	5612	
die Kraft	the force	5607	
Herren	men's	5590	
persönlich	personally	5563	
der Beweis	the evidence	5550	
genauso	just as	5549	
der Onkel	the uncle	5529	
der Punkt	the point	5502	
das Haar	the hair	5495	
der Geist	the spirit	5485	
früher	earlier	5482	
sobald	as soon as	5465	
der Liebling	the favorite	5458	
verkaufen	to sell	5453	
zwar	indeed	5433	
angerufen	called	5420	
gefragt	in demand	5417	
kalt	cold	5416	
die Ehre	the honor	5399	
einig	agreed	5386	
die Entscheidung	the decision	5382	
antworten	to reply	5382	
der Raum	the space	5378	
der Sex	the sex	5371	
der Schmerz	the pain	5370	
weniger	less	5366	
unglaublich	incredible	5366	
Krankenhaus	hospital	5360	
das Ansehen	the view	5356	
